Both sexes,55 - 59 years,Cork County,23752
Both sexes,55 - 59 years,Kerry,9787
Both sexes,55 - 59 years,Limerick City and County,11369
Both sexes,55 - 59 years,Tipperary,9842
Both sexes,55 - 59 years,Waterford City and County,6864
Both sexes,55 - 59 years,Galway City,3761
Both sexes,55 - 59 years,Galway County,10878
Both sexes,55 - 59 years,Leitrim,2110
Both sexes,55 - 59 years,Mayo,8776
Both sexes,55 - 59 years,Roscommon,4219
Both sexes,55 - 59 years,Sligo,4268
Both sexes,55 - 59 years,Cavan,4468
Both sexes,55 - 59 years,Donegal,9384
Both sexes,55 - 59 years,Monaghan,3625
Both sexes,60 - 64 years,Carlow,2864
Both sexes,60 - 64 years,Dublin City,23755
Both sexes,60 - 64 years,D�n Laoghaire-Rathdown,11087
Both sexes,60 - 64 years,Fingal,11996
Both sexes,60 - 64 years,South Dublin,13728
Both sexes,60 - 64 years,Kildare,9820
Both sexes,60 - 64 years,Kilkenny,5327
Both sexes,60 - 64 years,Laois,3963
Both sexes,60 - 64 years,Longford,2205
Both sexes,60 - 64 years,Louth,6040
Both sexes,60 - 64 years,Meath,8670
Both sexes,60 - 64 years,Offaly,3987
Both sexes,60 - 64 years,Westmeath,4427
Both sexes,60 - 64 years,Wexford,8018
Both sexes,60 - 64 years,Wicklow,7202
Both sexes,60 - 64 years,Clare,6639
Both sexes,60 - 64 years,Cork City,6236
Both sexes,60 - 64 years,Cork County,20992
Both sexes,60 - 64 years,Kerry,9156
Both sexes,60 - 64 years,Limerick City and County,10361
Both sexes,60 - 64 years,Tipperary,8914
Both sexes,60 - 64 years,Waterford City and County,6271
Both sexes,60 - 64 years,Galway City,3447
Both sexes,60 - 64 years,Galway County,9869
Both sexes,60 - 64 years,Leitrim,2002
Both sexes,60 - 64 years,Mayo,8136
Both sexes,60 - 64 years,Roscommon,3978
Both sexes,60 - 64 years,Sligo,3826
Both sexes,60 - 64 years,Cavan,3913
Both sexes,60 - 64 years,Donegal,8805
Both sexes,60 - 64 years,Monaghan,3222
Both sexes,65 - 69 years,Carlow,2467
Both sexes,65 - 69 years,Dublin City,20984
Both sexes,65 - 69 years,D�n Laoghaire-Rathdown,9765
Both sexes,65 - 69 years,Fingal,10133
Both sexes,65 - 69 years,South Dublin,11864
Both sexes,65 - 69 years,Kildare,8333
Both sexes,65 - 69 years,Kilkenny,4636
Both sexes,65 - 69 years,Laois,3253
Both sexes,65 - 69 years,Longford,1990
